Object,Clients,Samples,Write(MB/s),Read(MB/s),WriteErr,ReadErr
4Kb ,30,9999,7.872,2.677,0,0
4Kb ,30,9999,7.983,2.668,0,0
4Kb ,30,9999,8.003,2.676,0,0
4Kb ,30,9999,7.909,2.676,0,0
4Kb ,30,9999,7.895,2.682,0,0
1Mb ,30,9999,1277.029,1061.882,0,0
1Mb ,30,9999,1271.285,1064.09,0,0
1Mb ,30,9999,1269.647,1074.653,0,0
1Mb ,30,9999,1275.881,1111.272,0,0
1Mb ,30,9999,1282.844,1072.335,0,0
4Mb ,30,9999,1675.542,1764.005,0,0
4Mb ,30,9999,1680.338,1788.761,0,0
4Mb ,30,9999,1668.4,1856.945,0,0
4Mb ,30,9999,1689.874,1681.891,0,0
4Mb ,30,9999,1682.161,1847.901,0,0
64Mb ,30,9999,1748.465,2253.785,0,0
64Mb ,30,9999,1752.897,2263.523,0,0
64Mb ,30,9999,1743.828,2233.44,0,0
64Mb ,30,9999,1748.286,2216.404,0,0
64Mb ,30,9999,1748.622,2272.921,0,0
128Mb ,30,5000,1763.705,2220.182,0,0
128Mb ,30,5000,1766.42,2234.526,0,0
128Mb ,30,5000,1755.504,2234.163,0,0
128Mb ,30,, , , ,
128Mb ,30,, , , ,
