Object,Clients,Samples,Write(MB/s),Read(MB/s),WriteErr,ReadErr
4Kb , 30 , 9999 , 8.518 , 2.601 , 0 , 0
4Kb , 30 , 9999 , 8.343 , 2.607 , 0 , 0
4Kb , 30 , 9999 , 8.247 , 2.601 , 0 , 0
4Kb , 30 , 9999 , 8.486 , 2.600 , 0 , 0
4Kb , 30 , 9999 , 8.245 , 2.597 , 0 , 0
1Mb , 30 , 9999 , 1651.821 , 1358.778 , 0 , 0
1Mb , 30 , 9999 , 1653.511 , 1374.768 , 0 , 0
1Mb , 30 , 9999 , 1650.732 , 1307.480 , 0 , 0
1Mb , 30 , 9999 , 1654.373 , 1388.193 , 0 , 0
1Mb , 30 , 9999 , 1666.189 , 1478.471 , 0 , 0
4Mb , 30 , 9999 , 2813.649 , 3160.215 , 0 , 0
4Mb , 30 , 9999 , 2827.070 , 3125.336 , 0 , 0
4Mb , 30 , 9999 , 2826.751 , 3288.122 , 0 , 0
4Mb , 30 , 9999 , 2835.473 , 3092.212 , 0 , 0
4Mb , 30 , 9999 , 2827.810 , 2922.906 , 0 , 0
64Mb , 30 , 9999 , 3518.322 , 4421.335 , 0 , 0
64Mb , 30 , 9999 , 3519.224 , 4232.845 , 0 , 0
64Mb , 30 , 9999 , 3508.025 , 4257.403 , 0 , 0
64Mb , 30 , 9999 , 3295.192 , 3077.085 , 0 , 0
64Mb , 30 , 9999 , 3513.617 , 2156.588 , 0 , 0
128Mb , 30 , 5000 , 3535.245 , 1963.752 , 0 , 0
128Mb , 30 , 5000 , 3534.551 , 1968.743 , 0 , 0
128Mb , 30 , 5000 , 3535.008 , 1983.195 , 0 , 0
128Mb , 30 , 5000 , 3533.568 , 1989.493 , 0 , 0
128Mb , 30 , 5000 , 3532.476 , 1982.252 , 0 , 0
