Object,Clients,Samples,Write(MB/s),Read(MB/s),WriteErr,ReadErr
4Kb , 30 , 9999 , 7.090 , 2.445 , 18 , 18
4Kb , 30 , 9999 , 7.292 , 2.457 , 0 , 0
4Kb , 30 , 9999 , 7.357 , 2.467 , 0 , 0
4Kb , 30 , 9999 , 7.367 , 2.462 , 0 , 0
4Kb , 30 , 9999 , 7.461 , 2.453 , 0 , 0
1Mb , 30 , 9999 , 1294.739 , 1097.806 , 0 , 0
1Mb , 30 , 9999 , 1268.678 , 1096.039 , 0 , 0
1Mb , 30 , 9999 , 1253.214 , 1100.695 , 0 , 0
1Mb , 30 , 9999 , 1256.974 , 1095.089 , 0 , 0
1Mb , 30 , 9999 , 1274.415 , 1072.082 , 0 , 0
4Mb , 30 , 9999 , 2040.828 , 2921.588 , 0 , 0
4Mb , 30 , 9999 , 2077.553 , 2909.949 , 0 , 0
4Mb , 30 , 9999 , 2054.178 , 2905.968 , 0 , 0
4Mb , 30 , 9999 , 2039.622 , 2921.043 , 0 , 0
4Mb , 30 , 9999 , 2058.479 , 2939.958 , 0 , 0
64Mb , 30 , 9999 , 2670.069 , 5444.579 , 0 , 0
64Mb , 30 , 9999 , 2674.604 , 5429.643 , 0 , 0
64Mb , 30 , 9999 , 2671.279 , 5457.804 , 0 , 0
64Mb , 30 , 9999 , 2691.223 , 5429.190 , 0 , 0
64Mb , 30 , 9999 , 2666.039 , 5395.965 , 0 , 0
128Mb , 30 , 5000 , 2707.198 , 5600.947 , 0 , 0
128Mb , 30 , 5000 , 2664.692 , 5591.823 , 0 , 0
128Mb , 30 , 5000 , 2719.257 , 5604.619 , 0 , 0
128Mb , 30 , 5000 , 2686.935 , 5604.257 , 0 , 0
128Mb , 30 , 5000 , 2725.490 , 5548.392 , 0 , 0
