Object,Clients,Samples,Write(MB/s),Read(MB/s),WriteErr,ReadErr
4Kb , 30 , 9999 , 7.838 , 2.627 , 18 , 18
4Kb , 30 , 9999 , 8.410 , 2.632 , 0 , 0
4Kb , 30 , 9999 , 8.382 , 2.633 , 0 , 0
4Kb , 30 , 9999 , 8.303 , 2.636 , 0 , 0
4Kb , 30 , 9999 , 8.107 , 2.637 , 0 , 0
1Mb , 30 , 9999 , 1856.642 , 1910.683 , 0 , 0
1Mb , 30 , 9999 , 1863.820 , 1987.946 , 0 , 0
1Mb , 30 , 9999 , 1851.345 , 1973.680 , 0 , 0
1Mb , 30 , 9999 , 1860.554 , 1922.658 , 0 , 0
1Mb , 30 , 9999 , 1831.570 , 1907.873 , 0 , 0
4Mb , 30 , 9999 , 2914.536 , 4586.250 , 0 , 0
4Mb , 30 , 9999 , 2931.085 , 4608.522 , 0 , 0
4Mb , 30 , 9999 , 2913.984 , 4593.115 , 0 , 0
4Mb , 30 , 9999 , 2917.603 , 4537.645 , 0 , 0
4Mb , 30 , 9999 , 2935.029 , 4623.000 , 0 , 0
64Mb , 30 , 9999 , 2960.622 , 6710.664 , 0 , 0
64Mb , 30 , 9999 , 2991.039 , 6683.160 , 0 , 0
64Mb , 30 , 9999 , 3022.669 , 5300.057 , 0 , 0
64Mb , 30 , 9999 , 2949.564 , 5645.504 , 0 , 0
64Mb , 30 , 9999 , 3008.764 , 5076.158 , 0 , 0
128Mb , 30 , 5000 , 2997.531 , 5253.581 , 0 , 0
128Mb , 30 , 5000 , 2895.493 , 5252.914 , 0 , 0
128Mb , 30 , 5000 , 2919.679 , 5279.034 , 0 , 0
128Mb , 30 , 5000 , 2943.974 , 5449.953 , 0 , 0
128Mb , 30 , 5000 , 2933.539 , 6609.772 , 0 , 0
