Object,Clients,Samples,Write(MB/s),Read(MB/s),WriteErr,ReadErr
4Kb , 30 , 9999 , 8.416 , 2.622 , 0 , 0
4Kb , 30 , 9999 , 8.375 , 2.635 , 0 , 0
4Kb , 30 , 9999 , 8.387 , 2.625 , 0 , 0
4Kb , 30 , 9999 , 8.567 , 2.635 , 0 , 0
4Kb , 30 , 9999 , 8.513 , 2.631 , 0 , 0
1Mb , 30 , 9999 , 1866.612 , 1978.792 , 0 , 0
1Mb , 30 , 9999 , 1876.408 , 1960.241 , 0 , 0
1Mb , 30 , 9999 , 1867.269 , 1972.177 , 0 , 0
1Mb , 30 , 9999 , 1878.859 , 1968.261 , 0 , 0
1Mb , 30 , 9999 , 1866.986 , 1982.217 , 0 , 0
4Mb , 30 , 9999 , 2801.655 , 4539.700 , 0 , 0
4Mb , 30 , 9999 , 2813.264 , 4541.094 , 0 , 0
4Mb , 30 , 9999 , 2823.483 , 4557.630 , 0 , 0
4Mb , 30 , 9999 , 2875.047 , 4473.845 , 0 , 0
4Mb , 30 , 9999 , 2868.728 , 4597.451 , 0 , 0
64Mb , 30 , 9999 , 3024.929 , 6149.770 , 0 , 0
64Mb , 30 , 9999 , 3012.001 , 6193.952 , 0 , 0
64Mb , 30 , 9999 , 2976.722 , 4963.710 , 0 , 0
64Mb , 30 , 9999 , 2910.093 , 5606.473 , 0 , 0
64Mb , 30 , 9999 , 2920.383 , 5142.399 , 0 , 0
128Mb , 30 , 5000 , 2896.618 , 5180.784 , 0 , 0
128Mb , 30 , 5000 , 2936.857 , 5165.236 , 0 , 0
128Mb , 30 , 5000 , 2872.189 , 5637.800 , 0 , 0
128Mb , 30 , 5000 , 2975.183 , 6559.160 , 0 , 0
128Mb , 30 , 5000 , 2958.059 , 5415.015 , 0 , 0
