Object,Clients,Samples,Write(MB/s),Read(MB/s),WriteErr,ReadErr
4Kb , 30 , 9999 , 8.054 , 2.527 , 18 , 18
4Kb , 30 , 9999 , 8.035 , 2.534 , 0 , 0
4Kb , 30 , 9999 , 8.008 , 2.546 , 0 , 0
4Kb , 30 , 9999 , 7.879 , 2.532 , 0 , 0
4Kb , 30 , 9999 , 7.957 , 2.537 , 0 , 0
1Mb , 30 , 9999 , 1651.014 , 1566.539 , 0 , 0
1Mb , 30 , 9999 , 1660.210 , 1576.963 , 0 , 0
1Mb , 30 , 9999 , 1642.542 , 1594.764 , 0 , 0
1Mb , 30 , 9999 , 1662.700 , 1576.504 , 0 , 0
1Mb , 30 , 9999 , 1651.004 , 1609.372 , 0 , 0
4Mb , 30 , 9999 , 2858.519 , 3226.453 , 0 , 0
4Mb , 30 , 9999 , 2863.518 , 3049.337 , 0 , 0
4Mb , 30 , 9999 , 2845.756 , 3157.133 , 0 , 0
4Mb , 30 , 9999 , 2872.491 , 3034.158 , 0 , 0
4Mb , 30 , 9999 , 2864.111 , 3066.937 , 0 , 0
64Mb , 30 , 9999 , 3510.686 , 3462.046 , 0 , 0
64Mb , 30 , 9999 , 3524.560 , 2898.659 , 0 , 0
64Mb , 30 , 9999 , 3413.278 , 3033.099 , 0 , 0
64Mb , 30 , 9999 , 3517.391 , 2519.565 , 0 , 0
64Mb , 30 , 9999 , 3409.322 , 2998.572 , 0 , 0
128Mb , 30 , 5000 , 3511.719 , 2889.894 , 0 , 0
128Mb , 30 , 5000 , 3518.086 , 2772.454 , 0 , 0
128Mb , 30 , 5000 , 3536.812 , 2855.154 , 0 , 0
128Mb , 30 , 5000 , 3464.347 , 2585.192 , 0 , 0
128Mb , 30 , 5000 , 3546.971 , 3310.711 , 0 , 0
