Object,Clients,Samples,Write(MB/s),Read(MB/s),WriteErr,ReadErr
4Kb , 30 , 9999 , 8.538 , 2.579 , 18 , 18
4Kb , 30 , 9999 , 8.358 , 2.577 , 0 , 0
4Kb , 30 , 9999 , 8.319 , 2.586 , 0 , 0
4Kb , 30 , 9999 , 8.465 , 2.589 , 0 , 0
4Kb , 30 , 9999 , 8.588 , 2.590 , 0 , 0
1Mb , 30 , 9999 , 1695.190 , 1684.478 , 0 , 0
1Mb , 30 , 9999 , 1698.707 , 1738.271 , 0 , 0
1Mb , 30 , 9999 , 1688.962 , 1712.839 , 0 , 0
1Mb , 30 , 9999 , 1678.861 , 1745.995 , 0 , 0
1Mb , 30 , 9999 , 1705.529 , 1703.568 , 0 , 0
4Mb , 30 , 9999 , 2931.020 , 3406.276 , 0 , 0
4Mb , 30 , 9999 , 2957.558 , 3354.740 , 0 , 0
4Mb , 30 , 9999 , 2922.181 , 3644.173 , 0 , 0
4Mb , 30 , 9999 , 2944.910 , 3404.501 , 0 , 0
4Mb , 30 , 9999 , 2928.254 , 3405.123 , 0 , 0
64Mb , 30 , 9999 , 3631.245 , 4310.970 , 0 , 0
64Mb , 30 , 9999 , 3619.417 , 4051.363 , 0 , 0
64Mb , 30 , 9999 , 3610.826 , 4241.242 , 0 , 0
64Mb , 30 , 9999 , 3629.811 , 3077.176 , 0 , 0
64Mb , 30 , 9999 , 3616.015 , 3221.212 , 0 , 0
128Mb , 30 , 5000 , 3622.628 , 2191.983 , 0 , 0
128Mb , 30 , 5000 , 3631.356 , 2225.521 , 0 , 0
128Mb , 30 , 5000 , 3632.125 , 1999.837 , 0 , 0
128Mb , 30 , 5000 , 3623.982 , 2266.770 , 0 , 0
128Mb , 30 , 5000 , 3631.125 , 1940.242 , 0 , 0
