Object,Clients,Samples,Write(MB/s),Read(MB/s),WriteErr,ReadErr
4Kb , 30 , 9999 , 8.416 , 2.606 , 18 , 18
4Kb , 30 , 9999 , 8.380 , 2.621 , 0 , 0
4Kb , 30 , 9999 , 8.544 , 2.612 , 0 , 0
4Kb , 30 , 9999 , 8.648 , 2.613 , 0 , 0
4Kb , 30 , 9999 , 8.415 , 2.605 , 0 , 0
1Mb , 30 , 9999 , 1660.398 , 1694.881 , 0 , 0
1Mb , 30 , 9999 , 1647.423 , 1731.950 , 0 , 0
1Mb , 30 , 9999 , 1616.854 , 1628.151 , 0 , 0
1Mb , 30 , 9999 , 1640.738 , 1668.217 , 0 , 0
1Mb , 30 , 9999 , 1641.982 , 1711.541 , 0 , 0
4Mb , 30 , 9999 , 2838.735 , 3159.963 , 0 , 0
4Mb , 30 , 9999 , 2839.441 , 3270.412 , 0 , 0
4Mb , 30 , 9999 , 2835.070 , 3272.615 , 0 , 0
4Mb , 30 , 9999 , 2846.182 , 3140.745 , 0 , 0
4Mb , 30 , 9999 , 2847.988 , 3101.955 , 0 , 0
64Mb , 30 , 9999 , 3653.665 , 4451.441 , 0 , 0
64Mb , 30 , 9999 , 3650.012 , 4306.041 , 0 , 0
64Mb , 30 , 9999 , 3637.680 , 4291.099 , 0 , 0
64Mb , 30 , 9999 , 3334.265 , 3456.362 , 0 , 0
64Mb , 30 , 9999 , 3505.859 , 2065.095 , 0 , 0
128Mb , 30 , 5000 , 3671.068 , 2211.674 , 0 , 0
128Mb , 30 , 5000 , 3667.065 , 1927.668 , 0 , 0
128Mb , 30 , 5000 , 3665.285 , 2123.474 , 0 , 0
128Mb , 30 , 5000 , 3661.842 , 2134.964 , 0 , 0
128Mb , 30 , 5000 , 3663.574 , 1993.738 , 0 , 0
