Object,Clients,Samples,Write(MB/s),Read(MB/s),WriteErr,ReadErr
4Kb , 30 , 9999 , 8.258 , 2.621 , 0 , 0
4Kb , 30 , 9999 , 8.367 , 2.620 , 0 , 0
4Kb , 30 , 9999 , 8.294 , 2.615 , 0 , 0
4Kb , 30 , 9999 , 8.423 , 2.611 , 0 , 0
4Kb , 30 , 9999 , 8.308 , 2.615 , 0 , 0
1Mb , 30 , 9999 , 1812.781 , 1987.825 , 0 , 0
1Mb , 30 , 9999 , 1840.258 , 1980.295 , 0 , 0
1Mb , 30 , 9999 , 1834.085 , 1957.177 , 0 , 0
1Mb , 30 , 9999 , 1831.900 , 1946.118 , 0 , 0
1Mb , 30 , 9999 , 1835.427 , 1974.631 , 0 , 0
4Mb , 30 , 9999 , 2885.564 , 4581.745 , 0 , 0
4Mb , 30 , 9999 , 2896.055 , 4582.456 , 0 , 0
4Mb , 30 , 9999 , 2905.577 , 4598.856 , 0 , 0
4Mb , 30 , 9999 , 2911.676 , 4624.657 , 0 , 0
4Mb , 30 , 9999 , 2888.586 , 4573.612 , 0 , 0
64Mb , 30 , 9999 , 3034.151 , 5892.690 , 0 , 0
64Mb , 30 , 9999 , 3029.707 , 5890.063 , 0 , 0
64Mb , 30 , 9999 , 3001.652 , 5413.894 , 0 , 0
64Mb , 30 , 9999 , 2935.832 , 5690.722 , 0 , 0
64Mb , 30 , 9999 , 2979.270 , 5359.462 , 0 , 0
128Mb , 30 , 5000 , 2879.955 , 5523.924 , 0 , 0
128Mb , 30 , 5000 , 2960.026 , 5389.182 , 0 , 0
128Mb , 30 , 5000 , 2938.574 , 5884.565 , 0 , 0
128Mb , 30 , 5000 , 3040.984 , 5384.241 , 0 , 0
128Mb , 30 , 5000 , 2969.973 , 5355.239 , 0 , 0
