Object,Clients,Write(MB/s),Read(MB/s)
4Kb , 10 , 6.264 , 0.888
4Kb , 10 , 6.117 , 0.883
4Kb , 10 , 6.135 , 0.889
4Kb , 30 , 8.087 , 2.642
4Kb , 30 , 7.831 , 2.638
4Kb , 30 , 7.849 , 2.637
4Kb , 50 , 4.317 , 4.312
4Kb , 50 , 6.921 , 4.404
4Kb , 50 , 7.764 , 4.358
4Kb , 100 , 0.318 , 0.470
4Kb , 100 , 0.307 , 0.301
4Kb , 100 , 0.409 , 0.250
4Kb , 250 , 0.036 , 0.040
4Kb , 250 , 0.037 , 0.036
4Kb , 250 , 0.037 , 0.034
1Mb , 10 , 827.628 , 905.671
1Mb , 10 , 830.169 , 908.852
1Mb , 10 , 827.861 , 894.225
1Mb , 30 , 1243.970 , 1090.524
1Mb , 30 , 1249.724 , 1084.568
1Mb , 30 , 1236.617 , 1075.857
1Mb , 50 , 899.002 , 709.660
1Mb , 50 , 1044.129 , 656.375
1Mb , 50 , 1044.642 , 660.000
1Mb , 100 , 85.739 , 67.963
1Mb , 100 , 75.327 , 83.152
1Mb , 100 , 230.034 , 117.589
1Mb , 250 , 10.382 , 9.816
1Mb , 250 , 9.731 , 9.121
1Mb , 250 , 16.519 , 16.559
4Mb , 10 , 1362.374 , 1849.104
4Mb , 10 , 1350.811 , 1985.840
4Mb , 10 , 1333.438 , 1958.952
4Mb , 30 , 1738.626 , 1854.316
4Mb , 30 , 1741.078 , 1837.056
4Mb , 30 , 1721.082 , 1840.832
4Mb , 50 , 1539.742 , 1110.875
4Mb , 50 , 1578.047 , 1112.744
4Mb , 50 , 1602.766 , 1147.231
4Mb , 100 , 1242.292 , 202.720
4Mb , 100 , 1656.734 , 187.453
4Mb , 100 , 1173.092 , 245.772
4Mb , 250 , 2280.624 , 36.244
4Mb , 250 , 61.773 , 52.369
4Mb , 250 , 2448.425 , 41.050
